idx,algo_name,accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,error-rate,retrained,inference_time,training_time,num_train_data
0,MLP-NoRetrain,0.98,0.980466768138001,53,143,3,1,0.020000000000000018,True,0.0007719993591308594,0.8142030239105225,800
1,MLP-NoRetrain,0.96,0.9594298245614036,46,146,6,2,0.040000000000000036,True,0.0005931854248046875,3.0994415283203125e-06,0
2,MLP-NoRetrain,0.985,0.9634146341463414,38,159,0,3,0.015000000000000013,True,0.00039458274841308594,3.0994415283203125e-06,0
3,MLP-NoRetrain,0.985,0.9838914256722475,53,144,2,1,0.015000000000000013,True,0.00039839744567871094,2.6226043701171875e-06,0
4,MLP-NoRetrain,0.98,0.973680747466772,49,147,2,2,0.020000000000000018,True,0.0003688335418701172,2.384185791015625e-06,0
5,MLP-NoRetrain,0.965,0.9507171996315305,47,146,3,4,0.03500000000000003,True,0.00045037269592285156,2.6226043701171875e-06,0
6,MLP-NoRetrain,0.985,0.9732142857142857,53,144,0,3,0.015000000000000013,True,0.00034618377685546875,2.6226043701171875e-06,0
7,MLP-NoRetrain,0.98,0.9710301718956605,56,140,1,3,0.020000000000000018,True,0.0004639625549316406,2.384185791015625e-06,0
8,MLP-NoRetrain,0.975,0.9682155914612572,58,137,2,3,0.025000000000000022,True,0.00041031837463378906,2.6226043701171875e-06,0
9,MLP-NoRetrain,0.98,0.973680747466772,49,147,2,2,0.020000000000000018,True,0.0003237724304199219,2.1457672119140625e-06,0
10,MLP-NoRetrain,0.96,0.9498432601880877,51,141,4,4,0.040000000000000036,True,0.0004241466522216797,1.9073486328125e-06,0
11,MLP-NoRetrain,0.97,0.9631947000368053,54,140,3,3,0.030000000000000027,True,0.0004405975341796875,2.1457672119140625e-06,0
12,MLP-NoRetrain,0.98,0.9718127137634155,58,138,1,3,0.020000000000000018,True,0.0003161430358886719,2.86102294921875e-06,0
13,MLP-NoRetrain,0.985,0.9797619047619048,58,139,1,2,0.015000000000000013,True,0.0013761520385742188,2.86102294921875e-06,0
14,MLP-NoRetrain,0.97,0.9561136478944698,50,144,2,4,0.030000000000000027,True,0.00046062469482421875,2.6226043701171875e-06,0
15,MLP-NoRetrain,0.975,0.9714733542319749,53,142,3,2,0.025000000000000022,True,0.0003819465637207031,2.86102294921875e-06,0
16,MLP-NoRetrain,0.98,0.9749216300940438,53,143,2,2,0.020000000000000018,True,0.0005142688751220703,2.6226043701171875e-06,0
17,MLP-NoRetrain,0.975,0.9832214765100672,51,144,5,0,0.025000000000000022,True,0.0004074573516845703,2.6226043701171875e-06,0
18,MLP-NoRetrain,0.99,0.9868403737333861,50,148,1,1,0.010000000000000009,True,0.0004680156707763672,2.86102294921875e-06,0
19,MLP-NoRetrain,0.96,0.9390258285175139,54,138,1,7,0.040000000000000036,True,0.00038695335388183594,2.6226043701171875e-06,0
20,MLP-NoRetrain,0.995,0.9907407407407407,53,146,0,1,0.0050000000000000044,True,0.0004849433898925781,2.6226043701171875e-06,0
